Дата,Направление,Тема,Что делала,Артефакты,Сложность,Время,Комментарий
2026-04-28,Алгоритмы,LeetCode 217: Contains Duplicate (разминка),"Решена задача на проверку дубликатов через HashSet (map[int]struct{}). O(n) time, O(n) space. Проверка наличия ДО добавления в map.",day_23/main.go,1,0.3ч,Разминка без тестов — моделируем собеседование
2026-04-28,Алгоритмы,LeetCode 560: Subarray Sum Equals K,"Решена задача на подмассивы с заданной суммой через Prefix Sum + HashMap. O(n) time, O(n) space. Ключевой инсайт: prefixSum-k в map даёт количество подходящих подмассивов.",day_23/main.go,3,2.5ч,Сначала разобрали через prefixSum массив, потом через totalSum+leftSum
2026-04-28,Алгоритмы,LeetCode 1480: Running Sum of 1d Array,"Решена задача на накопительную сумму. O(n) time, O(1) space (in-place). Ранний выход для len==1.",day_23/main.go,1,0.5ч,Оптимизация: без создания нового среза
2026-04-28,Алгоритмы,LeetCode 1732: Find the Highest Altitude,"Решена задача на максимальную высоту при изменении высоты. O(n) time, O(1) space. prefixSum + maxAltitude переменные.",day_23/main.go,1,0.5ч,Аналог runningSum, но ищем максимум вместо возврата среза
2026-04-28,Алгоритмы,LeetCode 724: Find Pivot Index,"Решена задача на индекс, где сумма слева = сумме справа. O(n) time, O(1) space через totalSum+leftSum. Также реализован через prefixSum массив (O(n) space).",day_23/main.go,2,1.5ч,Два подхода: через totalSum (лучше по памяти) и через prefixSum массив
2026-04-28,Математика,Khan Academy Unit 13: Triangle side lengths - Pythagorean theorem application,"Продолжение изучения теоремы Пифагора и её применения. Расчёт сторон треугольников, решение задач на расстояние.",Khan Academy,2,2ч,Перерыв ~2ч не включён в учёт времени
2026-04-28,Математика,Khan Academy Unit 13: Triangle side lengths - Pythagorean theorem application (continued),"Изучены темы: Use Pythagorean theorem to find perimeter, Use Pythagorean theorem to find area, Pythagorean theorem word problems. Закрепление применения теоремы Пифагора к геометрическим задачам.",Khan Academy,2,1.5ч,Завершение Unit 13. Перерыв ~2ч не включён в учёт времени
2025-03-26,Математика,Дроби: сложение/вычитание (разные знаменатели),Unit 13 на Khan Academy,day_3/main.go (задача на скорость загрузки),2,1.5ч,Правило: привести к НОЗ → сложить числители
2026-04-29,Алгоритмы,LeetCode 1: Two Sum (повторение),"Повторение задачи. One-pass HashMap: ищем complement в мапе, если нет - добавляем текущий элемент. O(n) time, O(n) space.",day_24/main.go,1,0.3ч,Разминка: вербализация + код. Ревью: 2026-05-06
2026-04-29,Алгоритмы,LeetCode 525: Contiguous Array,"Решена задача на поиск максимального подмассива с равным количеством 0 и 1. Prefix Sum паттерн: prefixSum-- для 0, prefixSum++ для 1. Когда prefixSum повторяется - количество нулей и единиц между точками равно. O(n) time, O(n) space.",day_24/main.go,3,1ч,Ключевой инсайт: превращаем в задачу на prefix sum
